id	taxonID	scientificName
wfo-0001294119	wfo-0001294119	Ruschia pungens (A.Berger) H.Jacobsen
wfo-0001294156	wfo-0001294156	Ruschia staminodiosa L.Bolus
wfo-0001294021	wfo-0001294021	Ruschia langebaanensis L.Bolus
wfo-0001293882	wfo-0001293882	Ruschia bipapillata L.Bolus
wfo-0001238689	wfo-0001238689	Ruschia divaricata L.Bolus
wfo-0001293974	wfo-0001293974	Ruschia geminiflora (Haw.) Schwantes
wfo-0001294180	wfo-0001294180	Ruschia truteri L.Bolus
wfo-0001294102	wfo-0001294102	Ruschia phylicoides L.Bolus
wfo-0001293930	wfo-0001293930	Ruschia decurvans L.Bolus
wfo-0001294154	wfo-0001294154	Ruschia solitaria L.Bolus
wfo-0001293875	wfo-0001293875	Ruschia atrata L.Bolus
wfo-0000571872	wfo-0000571872	Braunsia geminata (Haw.) L.Bolus
wfo-0001294026	wfo-0001294026	Ruschia laxiflora L.Bolus
wfo-0001293954	wfo-0001293954	Ruschia esterhuyseniae L.Bolus
wfo-0000578792	wfo-0000578792	Calamophyllum teretiusculum (Haw.) Schwantes
wfo-0000686002	wfo-0000686002	Faucaria tuberculosa (Rolfe) Schwantes
wfo-0001293866	wfo-0001293866	Ruschia altigena (L.Bolus) L.Bolus
wfo-0001293925	wfo-0001293925	Ruschia cymbifolia (Haw.) L.Bolus
wfo-0001294430	wfo-0001294430	Trichodiadema olivaceum L.Bolus
wfo-0001293935	wfo-0001293935	Ruschia densiflora L.Bolus
wfo-0001293984	wfo-0001293984	Ruschia grisea (L.Bolus) Schwantes
wfo-0000571875	wfo-0000571875	Braunsia stayneri (L.Bolus) L.Bolus
wfo-0001294056	wfo-0001294056	Ruschia middlemostii L.Bolus
wfo-0000632311	wfo-0000632311	Cylindrophyllum comptonii L.Bolus
wfo-0000402953	wfo-0000402953	Ruschia lerouxiae (L.Bolus) L.Bolus
wfo-0001294432	wfo-0001294432	Trichodiadema peersii L.Bolus
wfo-0001436211	wfo-0001436211	Stomatium agninum (Haw.) Schwantes
wfo-0001294368	wfo-0001294368	Stomatium duthiae L.Bolus
wfo-0000639479	wfo-0000639479	Delosperma crassum L.Bolus
wfo-0000527191	wfo-0000527191	Aloinopsis spathulata (Thunb.) L.Bolus
wfo-0000527181	wfo-0000527181	Aloinopsis luckhoffii (L.Bolus) L.Bolus
wfo-0000639597	wfo-0000639597	Delosperma smythae L.Bolus
wfo-0000371441	wfo-0000371441	Mesembryanthemum corallinum Thunb.
wfo-0000639566	wfo-0000639566	Delosperma pachyrhizum L.Bolus
wfo-0000744250	wfo-0000744250	Mesembryanthemum oubergense (L.Bolus) Klak
wfo-0000639490	wfo-0000639490	Delosperma echinatum (Lam.) Schwantes
wfo-0000639548	wfo-0000639548	Delosperma macrostigma L.Bolus
wfo-0000370201	wfo-0000370201	Mesembryanthemum longistylum DC.
wfo-0000639536	wfo-0000639536	Delosperma leightoniae Lavis
wfo-0000639602	wfo-0000639602	Delosperma subincanum (Haw.) Schwantes
wfo-0000639609	wfo-0000639609	Delosperma testaceum (Haw.) Schwantes
wfo-0000639494	wfo-0000639494	Delosperma esterhuyseniae L.Bolus
wfo-0000639620	wfo-0000639620	Delosperma verecundum L.Bolus
wfo-0000671210	wfo-0000671210	Erepsia villiersii L.Bolus
wfo-0000600525	wfo-0000600525	Cheiridopsis robusta (Haw.) N.E.Br.
wfo-0000639555	wfo-0000639555	Delosperma muirii L.Bolus
wfo-0000600507	wfo-0000600507	Cheiridopsis peculiaris N.E.Br.
wfo-0000600534	wfo-0000600534	Cheiridopsis schlechteri Tischer
wfo-0000671189	wfo-0000671189	Erepsia pillansii (Kensit) Liede
wfo-0000600519	wfo-0000600519	Cheiridopsis purpurea L.Bolus
wfo-0000639621	wfo-0000639621	Delosperma vernicolor L.Bolus
wfo-0000600550	wfo-0000600550	Cheiridopsis umbrosa S.A.Hammer & Desmet
wfo-0000652289	wfo-0000652289	Disphyma dunsdonii L.Bolus
wfo-0000554909	wfo-0000554909	Astridia vanheerdei L.Bolus
wfo-0000539003	wfo-0000539003	Antimima pauper (L.Bolus) H.E.K.Hartmann
wfo-0000646270	wfo-0000646270	Dicrocaulon nodosum (A.Berger) N.E.Br.
wfo-0000554900	wfo-0000554900	Astridia longifolia (L.Bolus) L.Bolus
wfo-0000600496	wfo-0000600496	Cheiridopsis namaquensis (Sond.) H.E.K.Hartmann
wfo-0000745929	wfo-0000745929	Antimima radicans (L.Bolus) Klak
wfo-0000538996	wfo-0000538996	Antimima mucronata (Haw.) H.E.K.Hartmann
wfo-0000372586	wfo-0000372586	Mesembryanthemum viridiflorum Aiton
wfo-0000539010	wfo-0000539010	Antimima propinqua (N.E.Br.) H.E.K.Hartmann
wfo-0000639448	wfo-0000639448	Delosperma algoense L.Bolus
wfo-0000538964	wfo-0000538964	Antimima hamatilis (L.Bolus) H.E.K.Hartmann
wfo-0001435218	wfo-0001435218	Conophytum obscurum N.E.Br. subsp. obscurum
wfo-0000538970	wfo-0000538970	Antimima ivori (N.E.Br.) H.E.K.Hartmann
wfo-0000547233	wfo-0000547233	Argyroderma theartii Van Jaarsv.
